"wake me at sunrise tomorrow",reminder
"don’t let me forget my keys at 10",reminder
"set an alarm for midnight",reminder
"notify me to water plants",reminder

"add task buy groceries",task
"make a task for cleaning room",task
"write down task finish homework",task
"add laundry to my todo",task
"create a task to send email",task
"remember to finish coding project",task
"add assignment to my list",task
"make a note about buying milk",task
"plan task prepare slides",task
"add goal workout today",task
"note down wash the dishes",task
"put in todo buy fruits",task
"task: organize files",task
"create new task pay rent",task
"add project deadline to todo",task
"make a task for calling boss",task
"add to list: check emails",task
"task is to clean backyard",task
"make note: submit assignment",task
"todo: pack for trip",task
"jot down prepare resume",task
"add workout to my list",task
"include call friend in my todos",task
"task add finish math homework",task
"task create plan for vacation",task

"hi",other
"hello there",other
"how are you?",other
"what's up?",other
"tell me a joke",other
"who are you?",other
"play a song",other
"open google",other
"what's the weather?",other
"good morning",other
"good night",other
"how old are you?",other
"where do you live?",other
"thank you",other
"bye",other
"what is ai?",other
"do you know python?",other
"tell me a story",other
"let’s chat",other
"sing a song",other
"what time is it?",other
"who made you?",other
"explain quantum computing",other
"show me news headlines",other
"how do I cook pasta?",other
"play some music",other
"tell me about mars",other
"what is machine learning?",other
"how’s the weather tomorrow?",other
"search for cat videos",other


remind me to call mom at 8,reminder
pls remind me to drink water,reminder
ping me about the assignment deadline tmrw,reminder
hey can u nudge me for meds every night?,reminder
wake me up at 6 am sharp,reminder
remember dentist appt fri 3pm,reminder
dont let me forget to water plants,reminder
knock me for lunch break,reminder
set an alert for fee payment date,reminder
buzz me on bday of rakesh,reminder
note down to renew subscription in 2 weeks,reminder
hey remind abt groceries list later,reminder
call me back about meeting in evening,reminder
pls shoot a notif for exam day,reminder
alarm me for gym at 5 am daily,reminder
set reminder: buy milk tmr,reminder
notify me about interview schedule monday,reminder
pls push an alert when its 9pm,reminder
keep me posted on project deadline,reminder
remind abt calling teacher later,reminder

add "finish report" to my todo,task
make a note to clean my desk,task
schedule task: prepare ppt slides,task
jot down “fix bug in login page”,task
track task: book train tickets,task
add to list: buy groceries,task
write down project outline,task
create task for updating jarvis api,task
add to tasks: call bank for card issue,task
put “check emails” in todo,task
log task for revising dsa problems,task
add coding practice to my list,task
set task for workout plan,task
task me with studying maths chapter 3,task
remember that i need to submit assignment,task
todo: revise maths chap 4,task
add work: design poster for fest,task
list task "clean bike",task
note task of creating github repo,task
make task: organize files,task

how’s the weather today?,other
play some music pls,other
who won the match yesterday?,other
tell me a joke,other
what’s the time now?,other
open youtube,other
can u google this for me?,other
show me today’s news,other
what does recursion mean?,other
sing a song,other
open whatsapp,other
hey how r u?,other
gimme a fun fact,other
calculate 123*45,other
what’s my ip address?,other
define AI,other
whats 10 plus 20,other
translate hello to spanish,other
open camera,other
whats trending today,other
the potrait of ruth reminds me of my beloved ruth,other
this smell reminds me of childhood,other
his smile reminds me of a movie,other
these lyrics remind me of college days,other
she reminds me of my sister,other

